,,,,Time_Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,Time,YR1950,YR1951,YR1952,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,YR2030,YR2031,YR2032,YR2033,YR2034,YR2035,YR2036,YR2037,YR2038,YR2039,YR2040,YR2041,YR2042,YR2043,YR2044,YR2045,YR2046,YR2047,YR2048,YR2049,YR2050
Country,Country_Name,Series,Series_Name,SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107995,108031,108009,107964,107857,107730,107564,107343,107108,106832,106516,106215,105869,105498,105095,104699,104278,103856,103418,102968,102480,101979,101446,100928,100401,99848,99303
ABW,Aruba,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41264,41323,41359,41384,41383,41372,41344,41294,41236,41160,41067,40977,40869,40748,40614,40480,40335,40188,40033,39871,39693,39508,39309,39115,38915,38704,38494
ABW,Aruba,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66731,66708,66650,66580,66474,66358,66220,66049,65872,65672,65449,65238,65000,64750,64481,64219,63943,63668,63385,63097,62787,62471,62137,61813,61486,61144,60809
AFG,Afghanistan,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42647492,43844111,45047069,46258906,47470575,48725717,50039402,51376001,52707848,54044254,55359464,56647232,57953661,59279044,60597838,61944472,63347870,64738843,66060220,67375163,68703958,70021200,71384693,72756311,74109735,75515602,76885135
AFG,Afghanistan,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31686773,32470876,33240057,33995150,34728488,35470882,36231791,36983863,37705993,38403855,39058221,39664079,40252969,40823857,41358050,41878046,42401757,42881273,43278487,43634974,43963036,44245482,44517844,44754712,44939116,45112958,45221842
AFG,Afghanistan,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10960719,11373235,11807012,12263756,12742087,13254835,13807611,14392138,15001855,15640399,16301243,16983153,17700692,18455187,19239788,20066426,20946113,21857570,22781733,23740189,24740922,25775718,26866849,28001599,29170619,30402644,31663293
AGO,Angola,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37885849,39040039,40215179,41415124,42641676,43891851,45160458,46449965,47759510,49091474,50447455,51821718,53215939,54625871,56053780,57501916,58965321,60441179,61927914,63430878,64945298,66464329,68000598,69554170,71118784,72701385,74295394
AGO,Angola,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11117550,11141406,11151294,11147614,11130095,11097191,11046906,10979215,10893248,10788867,10665681,10521749,10356757,10169222,9958956,9725683,9467885,9184532,8874859,8539084,8175956,7784139,7364643,6916775,6439256,5932103,5394096
